Qual a definição de Migração?;Deslocamento de pessoas.
Diferencie Emigração de Imigração.;Emigração é o processo de saída de pessoas de um local; Imigração é o processo de chegada de pessoas a um local.
Cite 3 tipos de migrações internas.;Êxodo-Rural (campo para cidade), Migrações Pendulares (diárias), Transumância (sazonais).
O que caracteriza a Migração de Cérebros?;É o movimento de mão de obra mais qualificada que se muda para outros países em busca de melhores oportunidades.
Diferencie Refugiados de Deslocados.;Refugiados atravessam as fronteiras de seu país de origem; Deslocados migram dentro das fronteiras de seu próprio país.
Quais os principais tipos de Refugiados?;Políticos, étnicos, religiosos, de guerra e ambientais.
O que é Xenofobia no contexto migratório?;É a aversão, o medo ou a hostilidade contra estrangeiros ou pessoas de outras culturas.
Qual a importância da Convenção de Genebra de 1951?;É um instrumento do direito internacional que define os direitos e as obrigações dos refugiados e dos Estados que os acolhem.
Quais as principais origens e destinos das rotas de imigração global?;Origens: Ásia, África, América Latina (países subdesenvolvidos); Destinos: Europa, América Anglo-Saxônica (países desenvolvidos).
Qual o contexto da 1ª fase de imigração no Brasil (1500-1822)?;Período Colonial, com destaque para a chegada de Portugueses, Açorianos e Africanos (escravizados).
Quais grupos migratórios foram proeminentes na 2ª fase de imigração no Brasil (séc. XIX) e qual o contexto?;Italianos, Alemães, Eslavos e Japoneses (a partir de 1908); Contexto: Abolição da escravidão no Brasil e 2ª Revolução Industrial na Europa.
Por que houve um declínio na imigração para o Brasil na 3ª fase (Pós 2ª G.M.)?;Devido a leis restritivas à imigração (Governo Vargas) e à recuperação econômica da Europa.
Cite 3 grupos que compõem o novo perfil de imigrantes no Brasil atualmente.;Peruanos, Bolivianos, Chineses (migrantes econômicos) e Refugiados como haitianos, sírios, venezuelanos.
Quando ocorreu o auge da emigração de brasileiros e qual era o perfil?;Em 1980 ("década perdida" por crise econômica), com predomínio de migrações voluntárias e fuga de cérebros.
Cite 3 destinos comuns para emigrantes brasileiros.;Estados Unidos, Portugal, Paraguai ("Brasiguaios"), Japão ("Dekasseguis"), Reino Unido, Itália.
Qual o principal fluxo migratório interno no Brasil entre 1930 e 1950?;O fluxo do Nordeste para o Sudeste, impulsionado pela industrialização de São Paulo.
Que fluxo migratório interno ocorreu no Brasil nos anos 1960 e qual o motivo?;Do Nordeste para o Centro-Oeste, devido à construção de Brasília e à demanda por mão de obra ("Candangos").
O que caracterizou as migrações internas no Brasil entre 1970 e 1980?;O fluxo do Sul e Sudeste para o Centro-Oeste e Norte, estimulado pela "interiorização" (JK e militares), avanço da fronteira agrícola e mineração.
O que é o fenômeno da Desmetropolização?;É o movimento de migração de grandes metrópoles para cidades médias, frequentemente associado à desconcentração industrial.
Qual o fluxo migratório interno que se observa do Sudeste para o Nordeste a partir dos anos 1990?;A migração de retorno, impulsionada por fatores como a melhoria das condições econômicas no Nordeste e o desejo de voltar à terra natal.
Defina Nomadismo.;Estilo de vida caracterizado pela ausência de moradia fixa, com deslocamentos constantes.
O que é Diáspora?;A dispersão de um povo de sua terra de origem para diferentes partes do mundo, seja de forma forçada ou não.
